cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	390	88	302	0.0	0.0	1.5087879788830094	0.09745293466223699	0.00302	0.22564102564102564	5.017872514876993	32.3988907498421	300.0	4.48863636973214	22.523405068956148	1126.1702534478075	616	53.23721694946289	53.23721694946289	0					False	True	5.1605573296765535	35.76700295412741			False	True
1	263	68	195	0.0	0.0	1.5867865510343722	0.0753045404208195	0.00195	0.2585551330798479	5.278065582609128	38.80217405465725	300.0	4.23410650459726	22.347891815016233	1117.3945907508116	476	41.778181076049805	41.778181076049805	0					False	True	5.387342967754953	41.85543214241435			False	True
2	544	166	378	0.0	0.0	1.6869285378907912	0.18383167220376523	0.00378	0.30514705882352944	5.6062871740414835	48.71476408449157	300.0	5.117993812416755	28.69294306737573	1434.6471533687866	1151	37.01833724975586	37.01833724975586	11	53.86829376220703	53.86829376220703	0.3127991502168717	0.3127991502168717	True	False	5.892913633009484	59.421521169648244	9.433989686423175	8.975128208696209	True	True
3	167	39	128	0.0	0.0	1.528166887072868	0.04318936877076412	0.00128	0.23353293413173654	5.089214495939178	34.04130632435762	300.0	3.6888794541139363	18.773498791648844	938.6749395824422	266	52.938053131103516	52.938053131103516	7	57.52463912963867	57.52463912963867	0.07973254709514535	0.07973254709514535	True	False	5.150233909962361	35.51198033995497	1.5148061357142009	1.496858876545796	True	True
4	276	21	255	0.0	0.0	0.9599913640054358	0.023255813953488372	0.00255	0.07608695652173914	3.2201435707204302	9.318796011555309	300.0	3.091042453358316	9.953600483005687	497.68002415028434	131	127.37018585205078	127.37018585205078	16	124.29709243774414	124.29709243774414	-0.024127258618247206	0.0	True	False	3.249596941035456	9.51099937355516	0.0	0.0	False	False
5	2231	10	2221	0.0231624292546595	0.0355157248571445	-0.3022363088187458	0.01107419712070875	0.02221	0.0044822949350067235	-0.9339427062752899	0.5234259273798869	1.449579317180986	2.3978952727983707	0.0	0.0	43	92.00498962402344	92.00498962402344	27	85.02010955810547	85.02010955810547	-0.07591849196941966	0.0	True	False	-0.9510805146462538	0.5172449232906124	0.0	0.0	False	False
6	53	41	12	0.0	0.0	2.577914860333006	0.04540420819490587	0.00012	0.7735849056603774	8.522241538528153	367.6633444075303	300.0	3.7376696182833684	31.853323278229187	1592.6661639114593	287	16.59787902832034	16.59787902832034	0					False	True	8.588277149985863	384.8832695652174			False	True
7	2402	16	2386	0.2265713811185927	0.2672380392680837	-0.1292382069649426	0.017718715393133997	0.02386	0.006661115736885929	-0.3852282047377962	0.7656578776102847	0.5731017233356982	2.833213344056216	0.0	0.0	112	52.60625076293945	52.60625076293945	0					False	True	-0.3950819647388313	0.7604461716875737			False	False
8	5905	16	5889	1.4778523116376618e-07	7.553467370592493e-07	-0.5216093219501801	0.017718715393133997	0.05889	0.00270956816257409	-1.688477027337262	0.3102542702974691	6.121853642511939	2.833213344056216	0.0	0.0	86	79.09095764160156	79.09095764160156	26	75.1198959350586	75.1198959350586	-0.050208795353543736	0.0	True	False	-1.7510552294832111	0.2970844030137186	0.0	0.0	False	False
10	2319	5	2314	0.0004343552285475	0.001248771282074	-0.6210811005065464	0.005537098560354375	0.02314	0.0021561017680034496	-1.9259949316986402	0.2631587131730314	2.903517097277639	1.791759469228055	0.0	0.0	18	82.64630126953125	82.64630126953125	17	70.5432357788086	70.5432357788086	-0.146444127623466	0.0	True	False	-1.9525563430496833	0.25835803485634645	0.0	0.0	False	False
