cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	12	2	10	0.5862662521818478	0.8904259827008625	-0.1661207972059641	9.717511928245892e-06	1.4245440390666957e-05	0.16666666666666666	-0.3003025769646932	0.8120820602235854	0.05040217574098982	1.0986122886681098	0.0	0.0	2	22.39212417602539	22.39212417602539	12	20.484344482421875	20.484344482421875	-0.0851986921207824	0.0	True	False	-0.30031158673868674	0.8120769887062012	0.0	0.0	False	False
1	18	2	16	0.2140561893746018	0.542003876861209	-0.3702407798456029	9.717511928245892e-06	2.279270462506713e-05	0.1111111111111111	-0.9523792735443877	0.5167794928695539	0.26599760701620984	1.0986122886681098	0.0	0.0	2	29.482086181640625	29.482086181640625	12	29.84220771789551	29.84220771789551	0.012067523276400528	0.012067523276400528	True	False	-0.9524006146336834	0.5167718484572417	0.0	0.0	False	False
2	9	1	8	0.3796358904078474	0.7464789502646108	-0.370240779655599	4.858755964122946e-06	1.1396352312533565e-05	0.1111111111111111	-0.7324135896024764	0.6018961152245407	0.12698243430575695	0.6931471805599453	0.0	0.0	0			7	21.039514541625977	21.039514541625977			False	False	-0.7324254986986531	0.6018911467392154			False	False
3	94	21	73	0.9305888974504812	0.9593837406148356	-0.0082543584154683	0.00010203387524658187	0.0001039917148518688	0.22340425531914893	-0.0033208392075607662	0.9977008168461199	0.01800764611724776	3.091042453358316	0.0	0.0	105	17.43789291381836	17.43789291381836	42	14.866586017608643	14.866586017608643	-0.14745513743648053	0.0	True	False	-0.003326141571188046	0.99769714998469	0.0	0.0	False	False
4	106	26	80	0.5992607299433113	0.90501113314746	0.0447325679464861	0.00012632765506719658	0.00011396352312533566	0.24528301886792453	0.16709032737528773	1.1227917180482623	0.04334607821494224	3.295836866004329	0.5507024609162057	0.023870791944035023	151	15.79510498046875	15.79510498046875	31	14.896976470947266	14.896976470947266	-0.05686119279561956	0.0	True	False	0.16710568960844263	1.1228036739221665	0.0	0.0	False	False
5	150	45	105	0.0104021565994298	0.113425535849339	0.1648724216672572	0.00021864401838553256	0.00014957712410200306	0.3	0.5567822024182174	1.4709846607462307	0.9452891603461745	3.828641396489095	2.131719389006758	2.015091231327858	287	15.172188758850098	15.172188758850098	28	14.679884910583496	14.679884910583496	-0.032447780349386675	0.0	True	False	0.5568793853636205	1.471083752676882	0.0	0.0	False	False
6	156	46	110	0.0154688777690121	0.1577680244494516	0.1542143534851788	0.0002235027743496555	0.00015669984429733652	0.2948717948717949	0.5213430026433059	1.4352907363046732	0.8019810126114804	3.8501476017100584	2.007247511295445	1.6097743916705949	294	14.683876037597656	14.683876037597656	28	13.934597969055176	13.934597969055176	-0.05102726736618961	0.0	True	False	0.5214369193451454	1.4353841740416504	0.0	0.0	False	False
7	6	1	5	0.700352433814226	0.907490640142188	-0.1661207970322464	4.858755964122946e-06	7.122720195333479e-06	0.16666666666666666	-0.1043823669894337	0.9302030871651996	0.042157845581725265	0.6931471805599453	0.0	0.0	0			7	30.267459869384766	30.267459869384766			False	False	-0.10438811048504704	0.9301993839524176			False	False
8	7	3	4	0.0915471550771456	0.4806670909814138	0.4079104703842281	1.4576267892368838e-05	5.698176156266783e-06	0.42857142857142855	1.4075166715419982	2.6528013967303825	0.3181556109573231	1.3862943611198906	1.9512324249409092	0.620795544276814	6	18.109960556030273	18.109960556030273	15	17.17436408996582	17.17436408996582	-0.05166198254103415	0.0	True	False	1.4075270027491609	2.652820393634194	0.0	0.0	False	False
9	45	12	33	0.4548320753737753	0.7824993002151904	0.0935165131491049	5.8305071569475354e-05	4.700995328920096e-05	0.26666666666666666	0.34785375024365806	1.272665915275769	0.10651604216850076	2.5649493574615367	0.8922272531780566	0.09503651572339948	56	17.601158142089844	17.601158142089844	28	15.827484798431396	15.827484798431396	-0.10077026348721016	0.0	True	False	0.3478675691004902	1.2726781055667231	0.0	0.0	False	False
10	7	3	4	0.0915471550771456	0.4806670909814138	0.4079104703842281	1.4576267892368838e-05	5.698176156266783e-06	0.42857142857142855	1.4075166715419982	2.6528013967303825	0.3181556109573231	1.3862943611198906	1.9512324249409092	0.620795544276814	6	19.02876091003418	19.02876091003418	15	13.67258071899414	13.67258071899414	-0.28147813808599786	0.0	True	False	1.4075270027491609	2.652820393634194	0.0	0.0	False	False
11	7	1	6	0.5670716835654517	0.8758819321918802	-0.2453020430653947	4.858755964122946e-06	8.547264234400175e-06	0.14285714285714285	-0.34539046649322813	0.7870949199090153	0.057554432249026344	0.6931471805599453	0.0	0.0	0			7	20.202924728393555	20.202924728393555			False	False	-0.34539826518610184	0.7870906651671757			False	False
12	18	2	16	0.2140561893746018	0.542003876861209	-0.3702407798456029	9.717511928245892e-06	2.279270462506713e-05	0.1111111111111111	-0.9523792735443877	0.5167794928695539	0.26599760701620984	1.0986122886681098	0.0	0.0	2	20.28356170654297	20.28356170654297	12	19.875810623168945	19.875810623168945	-0.020102538660283373	0.0	True	False	-0.9524006146336834	0.5167718484572417	0.0	0.0	False	False
13	7	3	4	0.0915471550771456	0.4806670909814138	0.4079104703842281	1.4576267892368838e-05	5.698176156266783e-06	0.42857142857142855	1.4075166715419982	2.6528013967303825	0.3181556109573231	1.3862943611198906	1.9512324249409092	0.620795544276814	6	21.104164123535156	21.104164123535156	15	18.693143844604492	18.693143844604492	-0.11424381770429458	0.0	True	False	1.4075270027491609	2.652820393634194	0.0	0.0	False	False
14	79	25	54	0.0212162694170539	0.1937496844141583	0.1983954558147352	0.00012146889910307365	7.692537810960157e-05	0.31645569620253167	0.6743277681212749	1.5958530027513038	0.7127589962141746	3.258096538021482	2.1970249668076787	1.5659493099993214	156	16.62138271331787	16.62138271331787	19	13.67258071899414	13.67258071899414	-0.17741014963580648	0.0	True	False	0.6743895596103453	1.595921355551014	0.0	0.0	False	False
15	6	2	4	0.4449389110289166	0.7772031625497015	0.2318192114009293	9.717511928245892e-06	5.698176156266783e-06	0.3333333333333333	0.9220898443717545	1.894858140521699	0.10946544086292719	1.0986122886681098	1.0130192342828743	0.11089059708339975	2	20.918180465698242	20.918180465698242	12	20.68414878845215	20.68414878845215	-0.01118795574165068	0.0	True	False	0.9220931658076665	1.8948625029523878	0.0	0.0	False	False
16	55	10	45	0.3792653237407339	0.7464789502646108	-0.1203633067852284	4.858755964122946e-05	6.410448175800131e-05	0.18181818181818182	-0.3453904664932299	0.7870949199090144	0.12698243430575695	2.3978952727983707	0.0	0.0	58	19.455352783203125	19.455352783203125	12	14.689677619934082	14.689677619934082	-0.24495444602698296	0.0	True	False	-0.3454153313020498	0.7870813544669074	0.0	0.0	False	False
17	13	6	7	0.005858285389217	0.0722745037446837	0.4659024173360639	2.9152535784737677e-05	9.97180827346687e-06	0.46153846153846156	1.563635873459278	2.95597869921385	1.1410148816245878	1.9459101490553132	3.0426949155913783	3.4717601789332315	30	17.17439842224121	17.17439842224121	12	17.174341201782227	17.174341201782227	-3.331730030804065e-06	0.0	True	False	1.5636610685927792	2.9560303226867055	0.0	0.0	False	False
