cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	354	77	277	0.6400060359414539	0.9062755728642934	-0.0231398369315575	0.00037412420923746686	0.0003945986988214747	0.2175141242937853	-0.07013280503652553	0.9525503084784762	0.042739725527539185	4.356708826689592	0.0	0.0	507	21.456464767456055	21.456464767456055	32	20.948734855651857	20.948734855651857	-0.023663260341670714	0.0	True	False	-0.07016483300137466	0.9525291620072596	0.0	0.0	False	False
1	11	3	8	0.6691324076664131	0.9062755728642934	0.1068804747745336	1.4576267892368838e-05	1.1396352312533565e-05	0.2727272727272727	0.4899788317339713	1.4044242688572612	0.042739725527539185	1.3862943611198906	0.6792548915009161	0.029031167625987564	5	21.021799087524414	21.021799087524414	16	17.520858764648438	17.520858764648438	-0.16653856828807972	0.0	True	False	0.4899809421462411	1.4044263232875414	0.0	0.0	False	False
2	25	3	22	0.1742998906051394	0.556958483702618	-0.3324522190211828	1.4576267892368838e-05	3.1339968859467303e-05	0.12	-0.9144114233453653	0.5305602793460761	0.2541771764076795	1.3862943611198906	0.0	0.0	6	29.482086181640625	29.482086181640625	15	33.08330154418945	33.08330154418945	0.10885296190099635	0.10885296190099635	True	False	-0.9144380860841181	0.5305504740448853	0.0	0.0	False	False
3	253	57	196	0.9510329564129074	0.9751503210260892	-0.0035320087222444	0.00027694908995500793	0.00027921063165707236	0.22529644268774704	-0.0028087003875256755	0.9980550511144834	0.01092843193213041	4.060443010546419	0.0	0.0	365	23.677541732788086	23.677541732788086	34	20.7504581451416	20.7504581451416	-0.12362278232596804	0.0	True	False	-0.002814441950373947	0.9980510791146936	0.0	0.0	False	False
4	248	61	187	0.4043779592085412	0.7675396602258523	0.0463374354354019	0.0002963841138114997	0.0002663897353054721	0.24596774193548387	0.16185447088270344	1.118724246164013	0.11489917445373736	4.127134385045092	0.667995152153285	0.07675209152151112	388	18.42732219696045	18.42732219696045	39	14.954847717285157	14.954847717285157	-0.1884416217700948	0.0	True	False	0.1618952777820013	1.1187558899362589	0.0	0.0	False	False
5	5713	1491	4222	5.32018873400375e-13	1.828850824534965e-10	0.0808086214378821	0.007244405142507312	0.006014424932939589	0.2609837213373009	0.26875330557317056	1.2047662877107428	9.737821717554452	7.307872780763706	1.9640149665384439	19.125227594760037	10280	26.1043758392334	26.1043758392334	157	24.833036422729492	24.833036422729492	-0.048702157229637916	0.0	True	False	0.27053713784983735	1.2062568523232033	0.0	0.0	False	False
6	11	2	9	0.6941697044276094	0.9062755728642934	-0.1203633066501145	9.717511928245892e-06	1.2820896351600261e-05	0.18181818181818182	-0.1559126676295186	0.8975643823523838	0.042739725527539185	1.0986122886681098	0.0	0.0	2	24.336387634277344	24.336387634277344	12	23.835351943969727	23.835351943969727	-0.02058792364080846	0.0	True	False	-0.15591962219454203	0.8975600556203736	0.0	0.0	False	False
7	227	66	161	0.0062171773645502	0.0919491615112967	0.1455672664702386	0.00032067789363211444	0.00022935159028973802	0.2907488986784141	0.4899788317339713	1.4044242688572612	1.0364522267595342	4.204692619390966	2.060210377449637	2.1353096333007766	439	17.713355255126945	17.713355255126945	23	15.404426765441894	15.404426765441894	-0.1303495840527873	0.0	True	False	0.4901081458388905	1.404550158252887	0.0	0.0	False	False
8	121	21	100	0.1244159060695855	0.556958483702618	-0.1449314982934061	0.00010203387524658187	0.00014245440390666956	0.17355371900826447	-0.4547001855501236	0.7296617914247749	0.2541771764076795	3.091042453358316	0.0	0.0	108	22.172882080078125	22.172882080078125	39	17.77411766052246	17.77411766052246	-0.19838487408490138	0.0	True	False	-0.4547609846434657	0.7296310421400427	0.0	0.0	False	False
9	303	81	222	0.0485458554416973	0.3790391254530069	0.0949812513877533	0.0003935592330939586	0.00031624877667280646	0.26732673267326734	0.32115337930402355	1.2493289402900385	0.42131595865637617	4.406719247264253	1.4152327779029978	0.5962601545441278	522	17.60407066345215	17.60407066345215	45	16.59890823364258	16.59890823364258	-0.05709829556049156	0.0	True	False	0.3212624760033904	1.2494234182035928	0.0	0.0	False	False
10	6	1	5	0.700352433814226	0.9062755728642934	-0.1661207970322464	4.858755964122946e-06	7.122720195333479e-06	0.16666666666666666	-0.1043823669894337	0.9302030871651996	0.042739725527539185	0.6931471805599453	0.0	0.0	0			7	30.267459869384766	30.267459869384766			False	False	-0.10438811048504704	0.9301993839524176			False	False
11	22	7	15	0.2146676364760589	0.556958483702618	0.2018559879480015	3.401129174886062e-05	2.1368160586000436e-05	0.3181818181818182	0.7227810361483495	1.650360315938256	0.2541771764076795	2.0794415416798357	1.502980912105273	0.382023444433557	31	18.109960556030273	18.109960556030273	18	17.174381256103516	17.174381256103516	-0.05166103465726366	0.0	True	False	0.7227967994824436	1.6503783483861565	0.0	0.0	False	False
12	169	39	130	0.8859837057569653	0.938777784588357	0.0099704616837942	0.0001894914826007949	0.00018519072507867045	0.23076923076923078	0.04596150253392395	1.0323709869049265	0.02743719617702966	3.6888794541139363	0.16954644237759767	0.004651879000631602	262	20.792783737182617	20.792783737182617	11	20.792783737182617	20.792783737182617	0.0	0.0	True	False	0.04596523064778957	1.0323736546908788	0.0	0.0	False	False
13	28	8	20	0.3776838862189804	0.7365144737793489	0.1349091983168713	3.887004771298357e-05	2.8490880781333915e-05	0.2857142857142857	0.49999758755896195	1.414211197560099	0.132818714102085	2.1972245773362196	1.0986069879933695	0.1459155674488441	36	22.05796241760254	22.05796241760254	20	19.85578022003174	19.85578022003174	-0.09983615693412505	0.0	True	False	0.5000100846726436	1.4142234479901292	0.0	0.0	False	False
14	181	39	142	0.6831787018317796	0.9062755728642934	-0.0283745303921431	0.0001894914826007949	0.0002022852535474708	0.2154696132596685	-0.08095060994829595	0.9454344827445114	0.042739725527539185	3.6888794541139363	0.0	0.0	256	18.7666072845459	18.7666072845459	17	15.822660064697265	15.822660064697265	-0.15687157381254216	0.0	True	False	-0.080971548787236	0.9454207610943057	0.0	0.0	False	False
