cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	13	12	1	0.0	0.0	2.995678625819254	0.009900990099009901	1e-05	0.9230769230769231	9.425360180017428	687.568756875687	300.0	2.5649493574615367	24.175571537579255	1208.7785768789627	84	15.959299087524414	15.959299087524414	0					False	True	9.439107261766726	694.1517423295849			False	True
1	30	29	1	0.0	0.0	3.37889537764937	0.02392739273927393	1e-05	0.9666666666666667	10.664147039604543	1622.66226622662	300.0	3.4011973816621555	36.2708689887632	1813.5434494381598	199	17.644446945190445	17.644446945190445	4	21.474614715576173	21.474614715576173	0.1783579273069609	0.1783579273069609	True	False	10.698469818849643	1661.7294747218696	6.490018259720004	6.469197014458129	True	True
2	10	8	2	0.0	0.0	2.5185573713348344	0.006600660066006601	2e-05	0.8	8.132001237326836	280.5280528052802	300.0	2.1972245773362196	17.86783298158307	893.3916490791536	56	23.209115982055664	23.209115982055664	0					False	True	8.1409349019734	282.2705687007058			False	True
3	23	5	18	0.0	0.0	1.3601948794651768	0.004125412541254125	0.00018	0.21739130434782608	4.616444743972208	24.529479975024522	300.0	1.791759469228055	8.271558584180287	413.57792920901437	20	36.69575119018555	36.69575119018555	15	35.89421005249024	35.89421005249024	-0.02184288675659229	0.0	True	False	4.621558759996023	24.61658552962901	0.0	0.0	False	False
4	5	4	1	0.0	0.0	2.518557371171974	0.0033003300330033004	1e-05	0.8	7.951428991685015	247.52475247524717	300.0	1.6094379124341003	12.797331277245513	639.8665638622757	12	39.341243743896484	39.341243743896484	16	38.26728630065918	38.26728630065918	-0.027298512732046545	0.0	True	False	7.955594003899147	248.24038063715352	0.0	0.0	False	False
5	7	7	0	0.0	0.0	11.761595420246032	0.005775577557755775	0.0	1.0	10.27335708657238	1237.6237623762383	300.0	2.0794415416798357	21.362845498329538	1068.142274916477	42	27.948945999145508	27.948945999145508	7	25.606433868408203	25.606433868408203	-0.0838139703303632	0.0	True	False	10.281122347899974	1244.3031936955608	0.0	0.0	False	False
6	43	3	40	0.0003025763254691	0.007676473442458	0.7915586436953402	0.0024752475247524753	0.0004	0.06976744186046512	2.833971410136842	7.130342663896028	2.114838248227039	1.3862943611198906	3.9287185854476885	8.308604331025201	6	46.434757232666016	46.434757232666016	15	41.153954315185544	41.153954315185544	-0.1137252186120082	0.0	True	False	2.8363803625108215	7.142258560062059	0.0	0.0	False	False
7	37	2	35	0.0155261190780857	0.3323559865152734	0.6734593316881771	0.0016501650165016502	0.00035	0.05405405405405406	2.538647466346541	5.810440198949472	0.47839649415136093	1.0986122886681098	2.7889893031244717	1.3342427048403944	2	44.892459869384766	44.892459869384766	12	44.833839416503906	44.833839416503906	-0.0013057972998453725	0.0	True	False	2.5399362701533086	5.815633162876478	0.0	0.0	False	False
8	133	1	132	0.6351062000143428	0.8223525780645176	-0.2040765506051128	0.0008250825082508251	0.00132	0.007518796992481203	-0.09841955776554556	0.9340556697179145	0.08494194173244463	0.6931471805599453	0.0	0.0	0			7	46.943607330322266	46.943607330322266			False	False	-0.09972265618948306	0.9332123751158325			False	False
9	53	1	52	0.6412969274868932	0.8223525780645176	0.2004940369608761	0.0008250825082508251	0.00052	0.018867924528301886	1.2371834740188934	2.3573785950023556	0.08494194173244463	0.6931471805599453	0.8575502368515543	0.07284198225128881	0			7	60.98384094238281	60.98384094238281			False	False	1.2370355887093343	2.3571369612640782			False	False
10	6	3	3	0.0	0.0	1.9164973801697327	0.0024752475247524753	3e-05	0.5	6.366466490963862	82.5082508250826	300.0	1.3862943611198906	8.82579659668194	441.28982983409696	6	43.97876739501953	43.97876739501953	15	42.34862365722656	42.34862365722656	-0.03706660814640247	0.0	True	False	6.369409352630015	82.67672591980158	0.0	0.0	False	False
11	153	1	152	0.5345982376515226	0.8223525780645176	-0.2653462073436026	0.0008250825082508251	0.00152	0.006535947712418301	-0.3012364407652317	0.8115565654926148	0.08494194173244463	0.6931471805599453	0.0	0.0	0			7	59.576534271240234	59.576534271240234			False	False	-0.3028284870595499	0.8106614886030732			False	False
12	11	11	0	0.0	0.0	11.957890065367438	0.009075907590759076	0.0	1.0	10.890028447020875	1897.689768976899	300.0	2.4849066497880004	27.060704104382662	1353.035205219133	76	17.898308753967285	17.898308753967285	1	22.727840423583984	22.727840423583984	0.2124940856503569	0.2124940856503569	True	False	10.902588710821128	1914.2833957553044	5.756871746268469	5.7502395757156535	True	True
