cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	3159	830	2329	0.0678942975111696	0.3273959541301797	-0.0274731060970775	0.0030053952275772167	0.003201656228176774	0.26274137385248497	-0.09070454216832324	0.9390640439614008	0.484926691783559	6.7226297948554485	0.0	0.0	5447	26.3700008392334	26.3700008392334	363	22.18955307006836	22.18955307006836	-0.1585304374714069	0.0	True	False	-0.09099019344981762	0.9388781292076303	0.0	0.0	False	False
1	140	52	88	0.0012972553606569	0.0178786909296072	0.1921389615492396	0.0001882898214867654	0.00012097284159706146	0.37142857142857144	0.6439036825608824	1.5625514375510539	1.7476642832392613	3.970291913552122	2.5564855839779037	4.467878545734247	354	14.767468452453613	14.767468452453613	10	16.450442218780516	16.450442218780516	0.10230568540008908	0.10230568540008908	True	False	0.6439991947449304	1.5626548881324998	0.2615818053513508	0.26154300988430645	True	True
2	504	163	341	0.0031936348657055	0.0383184127896636	0.1000515154740433	0.0005902161711988992	0.0004687697611886132	0.32341269841269843	0.33466877218574886	1.2610878429061902	1.416592488397429	5.099866427824199	1.7067660357112455	2.4177919456404084	1119	16.77482490539552	16.77482490539552	22	16.062286376953125	16.062286376953125	-0.042476659664758144	0.0	True	False	0.3348424537267256	1.2612396704637907	0.0	0.0	False	False
3	73	22	51	0.548827894835666	0.7976036525493041	0.0554707947966874	7.966107832132383e-05	7.010926047102425e-05	0.3013698630136986	0.20261628412421473	1.1507833749509158	0.09821286588198805	3.1354942159291497	0.6353021869245324	0.062394848478952804	137	21.31905174255371	21.31905174255371	17	21.31905174255371	21.31905174255371	0.0	0.0	True	False	0.20262844504101096	1.1507930752960749	0.0	0.0	False	False
4	20	6	14	0.7663969781114808	0.8749822653553486	0.0526415048079595	2.1725748633088314e-05	1.924567934498705e-05	0.3	0.23972243799127746	1.180765470543506	0.05800074941924671	1.9459101490553132	0.4664783250435098	0.027056092440358528	22	28.00191879272461	28.00191879272461	20	27.502882957458496	27.502882957458496	-0.017821487125938368	0.0	True	False	0.23972439567366877	1.180767072798503	0.0	0.0	False	False
5	401	127	274	0.0242478066171862	0.1538927539122092	0.086671448198596	0.00045986167940036934	0.00037666543860903227	0.3167082294264339	0.29095481283141744	1.2234497204244403	0.8127818285767668	4.852030263919617	1.411721557291105	1.1474216287763053	866	18.835533142089844	18.835533142089844	23	16.785293579101562	16.785293579101562	-0.10884956361584584	0.0	True	False	0.2910732686943902	1.2235501787598384	0.0	0.0	False	False
6	38	15	23	0.0339028070894109	0.2015006564272539	0.2349817131093514	5.4314371582720785e-05	3.1617901781050155e-05	0.39473684210526316	0.7968711736869949	1.7373292275263692	0.6957235347225255	2.772588722239781	2.20939602924254	1.537128815066532	100	20.94869041442871	20.94869041442871	5	19.650393676757812	19.650393676757812	-0.0619750787274358	0.0	True	False	0.7969022987309433	1.7373667094822496	0.0	0.0	False	False
7	114	52	62	4.445480872306007e-09	1.759311005432501e-07	0.3442299441990848	0.0001882898214867654	8.523086567065694e-05	0.45614035087719296	1.145724947981794	2.2125728355722942	6.754657380551617	3.970291913552122	4.548862496127042	30.726007632578977	356	12.270072937011719	12.270072937011719	8	14.074750804901123	14.074750804901123	0.12822094635316583	0.12822094635316583	True	False	1.1458720302187881	2.212798418070502	0.583334329912806	0.5832594540838334	True	True
8	405	150	255	6.415254971692266e-08	2.2540664365931623e-06	0.1901693686841107	0.0005431437158272079	0.0003505463023551213	0.37037037037037035	0.6337039107998379	1.5515432473843538	5.647033287659657	5.017279836814924	3.17946985416679	17.95457210359026	1032	17.993026733398438	17.993026733398438	18	17.968233108520508	17.968233108520508	-0.001377957430136424	0.0	True	False	0.6339802729409474	1.5518404889174284	0.0	0.0	False	False
9	356	104	252	0.3944153804044161	0.6876017492142651	0.0362510885808812	0.0003765796429735308	0.00034642222820976693	0.29213483146067415	0.12448326941948373	1.0901172150745153	0.1626630271665781	4.653960350157523	0.5793402001362538	0.09423723071345425	701	17.60407066345215	17.60407066345215	27	16.13701400756836	16.13701400756836	-0.08333621716990419	0.0	True	False	0.12452517212881631	1.0901488777106783	0.0	0.0	False	False
