cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	18	2	16	0.3682103026224714	0.7346744502144382	-0.271864679901972	2.305502080715628e-05	4.311517950735518e-05	0.1111111111111111	-0.625580943276189	0.6481587247359771	0.13390506335941577	1.0986122886681098	0.0	0.0	2	27.478755950927734	27.478755950927734	12	27.297665214538576	27.297665214538576	-0.006590208694766066	0.0	True	False	-0.6256162565372616	0.6481428597627906	0.0	0.0	False	False
1	8	3	5	0.0903023184785902	0.491763550021158	0.4093765573415173	3.458253121073442e-05	1.3473493596048494e-05	0.375	1.4448083846152056	2.7222666438910976	0.3082436647216007	1.3862943611198906	2.0029297164907973	0.61739039599092	6	23.01061248779297	23.01061248779297	15	22.313396453857422	22.313396453857422	-0.030299759917534443	0.0	True	False	1.4448324674853197	2.722312086995386	0.0	0.0	False	False
2	10	1	9	0.446629145372504	0.7771166464701587	-0.3230172021533176	1.152751040357814e-05	2.425228847288729e-05	0.1	-0.5660799315275291	0.67544961840907	0.10951378799942008	0.6931471805599453	0.0	0.0	0			7	19.600427627563477	19.600427627563477			False	False	-0.56610466138304	0.6754380403362048			False	False
3	18	5	13	0.2605964444751909	0.604742552617668	0.2162519589826013	5.76375520178907e-05	3.5031083349726085e-05	0.2777777777777778	0.80142919766873	1.7428267931789598	0.21842947125375006	1.791759469228055	1.4359683538387895	0.31365780826612466	20	22.776941299438477	22.776941299438477	15	20.112381362915038	20.112381362915038	-0.11698497623072544	0.0	True	False	0.8014554415048423	1.7428584969524177	0.0	0.0	False	False
4	93	22	71	0.1847326296684048	0.604742552617668	0.1223896390167224	0.00025360522887871905	0.00019132360906388862	0.23655913978494625	0.42886684074618664	1.3461758129131827	0.21842947125375006	3.1354942159291497	1.344709498563476	0.29372418476111545	114	19.287553787231445	19.287553787231445	40	17.498201370239258	17.498201370239258	-0.09277238766155804	0.0	True	False	0.42895034088236805	1.346253728975473	0.0	0.0	False	False
5	22	1	21	0.0776748390637249	0.491763550021158	-0.6909939874203378	1.152751040357814e-05	5.658867310340368e-05	0.045454545454545456	-1.7444171727860418	0.29845448255284485	0.3082436647216007	0.6931471805599453	0.0	0.0	0			7	34.141807556152344	34.141807556152344			False	False	-1.7444885560061962	0.29843971566561506			False	False
6	11	1	10	0.3816346975003262	0.7466550189561287	-0.3687746927091672	1.152751040357814e-05	2.694698719209699e-05	0.09090909090909091	-0.7104698408627037	0.611121083322492	0.1268800112638962	0.6931471805599453	0.0	0.0	0			7	22.518156051635742	22.518156051635742			False	False	-0.7104984584409788	0.6111089611265411			False	False
7	40	7	33	0.7970703486561475	0.9575784214229304	-0.0421905929147812	8.069257282504698e-05	8.892505773392005e-05	0.175	-0.06231351365435245	0.9577270708785329	0.018825649112233202	2.0794415416798357	0.0	0.0	28	25.026256561279297	25.026256561279297	21	22.36650848388672	22.36650848388672	-0.10627830298470402	0.0	True	False	-0.06233176362918336	0.9577149557856736	0.0	0.0	False	False
8	46	6	40	0.2731840163869905	0.604742552617668	-0.1926834339828259	6.916506242146884e-05	0.00010778794876838795	0.13043478260869565	-0.5425252035486317	0.6865681306462567	0.21842947125375006	1.9459101490553132	0.0	0.0	24	27.88703155517578	27.88703155517578	18	24.23576240539551	24.23576240539551	-0.13093072106136747	0.0	True	False	-0.5425873013954536	0.6865385793662846	0.0	0.0	False	False
9	12	5	7	0.0085499858505526	0.1039938201369111	0.4850972712465465	5.76375520178907e-05	1.8862891034467892e-05	0.4166666666666667	1.6494261042236804	3.1370882277221286	0.9829924680106623	1.791759469228055	2.95537484103472	2.905111208885338	19	19.157779693603516	19.157779693603516	16	18.269007682800293	18.269007682800293	-0.04639222420435129	0.0	True	False	1.649475674427812	3.137196018191356	0.0	0.0	False	False
