cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	35	34	1	0.0	0.0	3.575791166307228	0.03765227021040975	1e-05	0.9714285714285714	11.314620253012965	2547.0653377630097	300.0	3.5553480614894135	40.2274131830385	2011.370659151925	238	26.658613204956055	26.658613204956055	0					False	True	11.369152999693998	2645.18516388729			False	True
1	46	33	13	0.0	0.0	2.448882837237298	0.036544850498338874	0.00013	0.717391304347826	8.102259985250258	274.8041507731432	300.0	3.5263605246161616	28.571489772163634	1428.5744886081818	231	27.37282371520996	27.37282371520996	0					False	True	8.154961326927909	285.02829365839125			False	True
2	36	31	5	0.0	0.0	2.836703939111899	0.03433001107419712	5e-05	0.8611111111111112	9.308906601818572	634.2494714587735	300.0	3.4657359027997265	32.262211825732024	1613.1105912866012	217	21.615875244140625	21.615875244140625	0					False	True	9.358412535464804	656.3914040114616			False	True
3	22	21	1	0.0	0.0	3.3665315440068	0.023255813953488372	1e-05	0.9545454545454546	10.632360550936895	1587.3015873015866	300.0	3.091042453358316	32.865077842358154	1643.2538921179078	147	27.771282196044922	27.771282196044922	0					False	True	10.665483046765972	1624.1656279508968			False	True
4	14	14	0	0.0	0.0	12.190440285395754	0.015503875968992248	0.0	1.0	11.649039292083526	3211.5171650055368	300.0	2.70805020110221	31.546183197574337	1577.3091598787169	97	27.75351905822754	27.75351905822754	1	34.91854476928711	34.91854476928711	0.2051925633900307	0.2051925633900307	True	False	11.670777887754394	3260.2748735244495	6.485121719253653	6.473042195481794	True	True
5	91	67	24	0.0	0.0	2.490175810664101	0.07419712070874862	0.00024	0.7362637362637363	8.253164049891575	305.1054308766694	300.0	4.219507705176107	34.82428930059994	1741.2144650299972	468	23.735111236572266	23.735111236572266	1	38.06616973876953	38.06616973876953	0.3764775547564852	0.3764775547564852	True	False	8.363185424156814	329.28327457701556	13.285337729853422	13.110563282022298	True	True
6	9	9	0	0.0	0.0	11.998554759174072	0.009966777408637873	0.0	1.0	11.03898581039954	2104.097452934663	300.0	2.302585092994046	25.418204168798777	1270.9102084399387	63	21.278841018676758	21.278841018676758	0					False	True	11.05263752928566	2124.1022917831187			False	True
7	44	41	3	0.0	0.0	3.179974851552395	0.04540420819490587	3e-05	0.9318181818181818	10.358742806245274	1313.0833728840375	300.0	3.7376696182833684	38.71755827051437	1935.8779135257184	287	16.59787902832034	16.59787902832034	0					False	True	10.424908269346368	1374.7068322981377			False	True
8	22	15	7	0.0	0.0	2.3753054686948296	0.016611295681063124	7e-05	0.6818181818181818	7.83836401173431	228.86674049464742	300.0	2.772588722239781	21.732559659744716	1086.6279829872358	105	19.11509132385254	19.11509132385254	0					False	True	7.8616244449610075	232.58664415681866			False	True
9	10	8	2	0.0	0.0	2.646372240851596	0.008859357696566999	2e-05	0.8	8.55659304331893	376.52270210409733	300.0	2.1972245773362196	18.800756533044474	940.0378266522237	52	34.507781982421875	34.507781982421875	4	34.507781982421875	34.507781982421875	0.0	0.0	True	False	8.56860395822591	379.6704634282527	0.0	0.0	False	False
10	11	11	0	0.0	0.0	12.0857049348842	0.012181616832779624	0.0	1.0	11.314620253012967	2547.065337763013	300.0	2.4849066497880004	28.115775106537907	1405.7887553268954	77	27.4206600189209	27.4206600189209	0					False	True	11.331501285034534	2577.0436974789927			False	True
11	5	4	1	0.0	0.0	2.646372240688736	0.004429678848283499	1e-05	0.8	8.376020797677109	332.22591362126224	300.0	1.6094379124341003	13.480685427118054	674.0342713559027	12	35.92597579956055	35.92597579956055	16	34.32188606262207	34.32188606262207	-0.044649858528215625	0.0	True	False	8.381616290413248	333.5169538632575	0.0	0.0	False	False
12	177	2	175	0.7382276574341777	0.8448223432300611	0.1023041968788465	0.0022148394241417496	0.00175	0.011299435028248588	0.6576591715387554	1.5775209573659188	0.07323460876243354	1.0986122886681098	0.7225124476077651	0.05291291642654294	2	58.977230072021484	58.977230072021484	12	49.75782012939453	49.75782012939453	-0.15632151478406914	0.0	True	False	0.6575379656610529	1.5773884298565397	0.0	0.0	False	False
13	86	33	53	0.0	0.0	1.8385503199685589	0.036544850498338874	0.00053	0.38372093023255816	6.115680501012578	69.34310346612017	300.0	3.5263605246161616	21.566094299935546	1078.3047149967774	231	23.546039581298828	23.546039581298828	0					False	True	6.167804577054845	71.894254564194			False	True
14	72	7	65	0.0	0.0	1.076496933113256	0.007751937984496124	0.00065	0.09722222222222222	3.664525891027022	12.680378382490938	300.0	2.0794415416798357	7.620167368362905	381.00836841814527	36	39.00480270385742	39.00480270385742	13	33.21767044067383	33.21767044067383	-0.1483697355713395	0.0	True	False	3.6740174571104243	12.764078285784834	0.0	0.0	False	False
15	1366	13	1353	0.821690005518886	0.8448223432300611	0.0269578054287943	0.014396456256921373	0.01353	0.00951683748169839	0.14346662690445822	1.1045560482420989	0.07323460876243354	2.6390573296152584	0.3786166532873881	0.027727842474443813	88	38.80295181274414	38.80295181274414	3	40.759481811523436	40.759481811523436	0.04800183691800884	0.04800183691800884	True	False	0.14393139793306364	1.1049119435190689	0.018233171853331287	0.0181742948455435	False	False
16	7	2	5	0.0	0.0	1.646372241144745	0.0022148394241417496	5e-05	0.2857142857142857	5.653554773206018	50.337259639585206	300.0	1.0986122886681098	6.2110647485023796	310.553237425119	2	51.7990608215332	51.7990608215332	12	51.8770637512207	51.8770637512207	0.0015036111153392821	0.0015036111153392821	True	False	5.655888346516923	50.418746533555186	0.009342880790202611	0.00933902599394016	False	False
17	11	11	0	0.0	0.0	12.0857049348842	0.012181616832779624	0.0	1.0	11.314620253012967	2547.065337763013	300.0	2.4849066497880004	28.115775106537907	1405.7887553268954	71	28.702848434448242	28.702848434448242	6	31.44017219543457	31.44017219543457	0.08706452827201167	0.08706452827201167	True	False	11.331501285034534	2577.0436974789927	2.4515388610901465	2.4478866966526915	True	True
18	24	8	16	0.0	0.0	1.7432822540496564	0.008859357696566999	0.00016	0.3333333333333333	5.834127018847839	57.048894258196576	300.0	2.1972245773362196	12.818887273113763	640.9443636556881	53	43.668426513671875	43.668426513671875	3	47.56636047363281	47.56636047363281	0.08194728209490942	0.08194728209490942	True	False	5.845935939279234	57.51777405546251	1.0525992453658122	1.0504729715126977	True	True
19	8	5	3	0.0	0.0	2.2661609992449447	0.005537098560354375	3e-05	0.625	7.443134993535647	174.02309761113756	300.0	1.791759469228055	13.336307605410193	666.8153802705096	18	38.79342269897461	38.79342269897461	17	29.633403778076172	29.633403778076172	-0.2361229889916508	0.0	True	False	7.450306409679691	174.89029334605297	0.0	0.0	False	False
20	85	2	83	0.1484422738556152	0.4453268215668458	0.4262641531863163	0.0022148394241417496	0.00083	0.023529411764705882	1.7292820993692644	3.3156278804517227	0.3513211469804257	1.0986122886681098	1.8998105649408612	0.6674436267205539	2	70.67808532714844	70.67808532714844	12	70.5432357788086	70.5432357788086	-0.001907940031420831	0.0	True	False	1.7304898807716924	3.3184047877622476	0.0	0.0	False	False
