metric	n_points	pearson	pearson_abs	spearman	spearman_abs
recall	6	0.9545754273346937	0.9545754273346937	0.942857142857143	0.942857142857143
positive_fragmentation	6	0.8351486306608878	0.8351486306608878	0.942857142857143	0.942857142857143
has_density_validity__mean	6	0.747103374026903	0.747103374026903	0.8285714285714287	0.8285714285714287
has_density_validity__gt0_fraction	6	0.747103374026903	0.747103374026903	0.8285714285714287	0.8285714285714287
external_edges_n__trimmed_mean_10	6	0.7388502822170367	0.7388502822170367	0.8285714285714287	0.8285714285714287
support_log__mean	6	0.6575060975179167	0.6575060975179167	0.8285714285714287	0.8285714285714287
support_log__trimmed_mean_10	6	0.62691940132981	0.62691940132981	0.8285714285714287	0.8285714285714287
has_density_validity__trimmed_mean_10	6	0.7139248196821968	0.7139248196821968	0.8116794499134279	0.8116794499134279
internal_mreach_q90__sample_usage_weighted_mean	6	0.8150128649596243	0.8150128649596243	0.7714285714285715	0.7714285714285715
cohesion__sample_usage_weighted_mean	6	0.8150128649596243	0.8150128649596243	0.7714285714285715	0.7714285714285715
internal_mreach_q90__q25	6	0.7319272644582965	0.7319272644582965	0.7714285714285715	0.7714285714285715
cohesion__q25	6	0.7319272644582965	0.7319272644582965	0.7714285714285715	0.7714285714285715
external_edges_n__mean	6	0.860775994932889	0.860775994932889	0.7142857142857143	0.7142857142857143
sample_fraction_in_cluster__max	6	-0.6966817169026848	0.6966817169026848	-0.6982532518267538	0.6982532518267538
external_edges_n__q75	6	0.687106567443555	0.687106567443555	0.6982532518267538	0.6982532518267538
sample_fraction_in_cluster__q75	6	0.5295654490259403	0.5295654490259403	0.6957252427829382	0.6957252427829382
has_density_validity__q75	6	0.7207378628299577	0.7207378628299577	0.6831300510639732	0.6831300510639732
minus_log10_fdr__sample_usage_weighted_mean	6	-0.7650537740480506	0.7650537740480506	-0.6571428571428573	0.6571428571428573
log2_odds__sample_usage_weighted_mean	6	-0.7011239873735836	0.7011239873735836	-0.6571428571428573	0.6571428571428573
log2fc_smooth__sample_usage_weighted_mean	6	-0.6982815238678906	0.6982815238678906	-0.6571428571428573	0.6571428571428573
sample_fraction_in_cluster__sample_usage_weighted_mean	6	-0.6776814687580304	0.6776814687580304	-0.6571428571428573	0.6571428571428573
external_mreach_q10__sample_usage_weighted_mean	6	0.4885423125564373	0.4885423125564373	0.6571428571428573	0.6571428571428573
separation__sample_usage_weighted_mean	6	0.4885423125564373	0.4885423125564373	0.6571428571428573	0.6571428571428573
internal_edges_n__trimmed_mean_10	6	0.42490161973943225	0.42490161973943225	0.6571428571428573	0.6571428571428573
internal_edges_n__mean	6	0.41071361016750374	0.41071361016750374	0.6571428571428573	0.6571428571428573
sample_usage__trimmed_mean_10	6	0.3670096549475151	0.3670096549475151	0.6571428571428573	0.6571428571428573
background_usage__trimmed_mean_10	6	0.32637719588729674	0.32637719588729674	0.6571428571428573	0.6571428571428573
sample_usage__mean	6	0.31251222048302635	0.31251222048302635	0.6571428571428573	0.6571428571428573
fc_smooth__sample_usage_weighted_mean	6	-0.2963100644697846	0.2963100644697846	-0.6571428571428573	0.6571428571428573
odds_ratio__sample_usage_weighted_mean	6	-0.2874585200965065	0.2874585200965065	-0.6571428571428573	0.6571428571428573
sample_usage__q25	6	0.6875551355664035	0.6875551355664035	0.6546536707079772	0.6546536707079772
internal_edges_n__q25	6	0.6875551355664035	0.6875551355664035	0.6546536707079772	0.6546536707079772
sample_fraction_in_cluster__q25	6	0.6875551355664032	0.6875551355664032	0.6546536707079772	0.6546536707079772
support_log__q25	6	0.6875551355664032	0.6875551355664032	0.6546536707079772	0.6546536707079772
support_log__q75	6	0.6105963461306227	0.6105963461306227	0.6377481392176932	0.6377481392176932
internal_edges_n__q75	6	0.336665266299015	0.336665266299015	0.6377481392176932	0.6377481392176932
n_clusters_run	6	-0.739879635536847	0.739879635536847	-0.6	0.6
n_clusters_in_summary	6	-0.739879635536847	0.739879635536847	-0.6	0.6
n_noise	6	-0.7251963907516298	0.7251963907516298	-0.6	0.6
noise_fraction_run	6	-0.7246674381838494	0.7246674381838494	-0.6	0.6
internal_mreach_q90__max	6	0.7214169224088983	0.7214169224088983	0.6	0.6
cohesion__max	6	0.7214169224088983	0.7214169224088983	0.6	0.6
enrichment_support_score__sample_usage_weighted_mean	6	-0.6095853646254575	0.6095853646254575	-0.6	0.6
enrichment_support_score__max	6	-0.4322502218153278	0.4322502218153278	-0.6	0.6
enrichment_stat_score__max	6	-0.43225022181532774	0.43225022181532774	-0.6	0.6
is_sample_knn_closed__mean	6	0.24677191149730782	0.24677191149730782	0.6	0.6
background_usage__q75	6	0.20197946067612443	0.20197946067612443	0.6	0.6
sample_usage__q75	6	0.3051144859493122	0.3051144859493122	0.5797710356524484	0.5797710356524484
density_validity__median	6	-0.6677705024962637	0.6677705024962637	-0.5428571428571429	0.5428571428571429
log2fc_smooth__max	6	-0.6454444062393494	0.6454444062393494	-0.5428571428571429	0.5428571428571429
log2_odds__max	6	-0.6392417484011995	0.6392417484011995	-0.5428571428571429	0.5428571428571429
redcea_auxiliary_validity__mean	6	-0.4490439549438032	0.4490439549438032	-0.5428571428571429	0.5428571428571429
dbcv_with_odds__mean	6	-0.44868735844873403	0.44868735844873403	-0.5428571428571429	0.5428571428571429
dbcv_with_odds__trimmed_mean_10	6	-0.4413195706509077	0.4413195706509077	-0.5428571428571429	0.5428571428571429
redcea_auxiliary_validity__trimmed_mean_10	6	-0.4411684599171752	0.4411684599171752	-0.5428571428571429	0.5428571428571429
background_usage__mean	6	0.39808253795657456	0.39808253795657456	0.5428571428571429	0.5428571428571429
dbcv_with_odds__gt0_fraction	6	-0.3387947437431495	0.3387947437431495	-0.5428571428571429	0.5428571428571429
redcea_auxiliary_validity__gt0_fraction	6	-0.3387947437431495	0.3387947437431495	-0.5428571428571429	0.5428571428571429
odds_ratio__q25	6	-0.3291749892986588	0.3291749892986588	-0.5428571428571429	0.5428571428571429
fc_smooth__q25	6	-0.32898856930105613	0.32898856930105613	-0.5428571428571429	0.5428571428571429
fc_smooth__max	6	-0.31517043106810255	0.31517043106810255	-0.5428571428571429	0.5428571428571429
log2fc_smooth__q25	6	-0.2958296129433378	0.2958296129433378	-0.5428571428571429	0.5428571428571429
log2_odds__q25	6	-0.2949125835625664	0.2949125835625664	-0.5428571428571429	0.5428571428571429
odds_ratio__max	6	-0.2941901761092765	0.2941901761092765	-0.5428571428571429	0.5428571428571429
sample_fraction_in_cluster__trimmed_mean_10	6	0.04384931278334786	0.04384931278334786	0.5428571428571429	0.5428571428571429
enrichment_stat_score__trimmed_mean_10	6	-0.1276210807518666	0.1276210807518666	0.5217939320872036	0.5217939320872036
enrichment_support_score__trimmed_mean_10	6	0.09667260657026353	0.09667260657026353	0.5217939320872036	0.5217939320872036
enrichment_support_score__q75	6	0.4259223329108752	0.4259223329108752	0.5161002296110789	0.5161002296110789
enrichment_stat_score__q75	6	0.4218884608675214	0.4218884608675214	0.5161002296110789	0.5161002296110789
external_edges_n__median	6	0.6835343241810853	0.6835343241810853	0.50709255283711	0.50709255283711
sample_fraction_in_cluster__median	6	0.6558837934008586	0.6558837934008586	0.50709255283711	0.50709255283711
has_density_validity__median	6	0.6061213115893999	0.6061213115893999	0.50709255283711	0.50709255283711
internal_edges_n__median	6	0.541174406470254	0.541174406470254	0.50709255283711	0.50709255283711
support_log__median	6	0.4619860137508119	0.4619860137508119	0.50709255283711	0.50709255283711
density_validity__q25	6	-0.638373648858637	0.638373648858637	-0.48571428571428577	0.48571428571428577
enrichment_stat_score__sample_usage_weighted_mean	6	-0.6135788835517778	0.6135788835517778	-0.48571428571428577	0.48571428571428577
good_candidate_relaxed_fraction	6	0.15804994157172478	0.15804994157172478	0.48571428571428577	0.48571428571428577
is_good_candidate_relaxed__mean	6	0.15804994157172478	0.15804994157172478	0.48571428571428577	0.48571428571428577
minus_log10_fdr__trimmed_mean_10	6	-0.12492903550928555	0.12492903550928555	0.48571428571428577	0.48571428571428577
enrichment_support_score__mean	6	0.07090535954909928	0.07090535954909928	0.48571428571428577	0.48571428571428577
minus_log10_fdr__mean	6	0.014872691200643858	0.014872691200643858	0.48571428571428577	0.48571428571428577
density_validity__q75	6	-0.5763082292152099	0.5763082292152099	-0.4285714285714286	0.4285714285714286
redcea_auxiliary_validity__max	6	-0.42928579052688554	0.42928579052688554	-0.4285714285714286	0.4285714285714286
dbcv_with_odds__max	6	-0.42437996755618657	0.42437996755618657	-0.4285714285714286	0.4285714285714286
minus_log10_fdr__q75	6	0.09290567774479255	0.09290567774479255	0.4285714285714286	0.4285714285714286
background_usage__q25	6	0.5507945643948938	0.5507945643948938	0.40583972495671394	0.40583972495671394
internal_mreach_q90__q75	6	0.514811483525793	0.514811483525793	0.3714285714285715	0.3714285714285715
cohesion__q75	6	0.514811483525793	0.514811483525793	0.3714285714285715	0.3714285714285715
density_validity__trimmed_mean_10	6	-0.6444151211184089	0.6444151211184089	-0.3142857142857143	0.3142857142857143
density_validity__mean	6	-0.5831864101231697	0.5831864101231697	-0.3142857142857143	0.3142857142857143
support_log__max	6	0.5564891148959071	0.5564891148959071	0.3142857142857143	0.3142857142857143
background_usage__sample_usage_weighted_mean	6	0.4599467558962173	0.4599467558962173	0.3142857142857143	0.3142857142857143
external_edges_n__sample_usage_weighted_mean	6	0.44940446391841604	0.44940446391841604	0.3142857142857143	0.3142857142857143
background_usage__median	6	0.4235373166536835	0.4235373166536835	0.3142857142857143	0.3142857142857143
external_edges_n__max	6	0.3723754790998112	0.3723754790998112	0.3142857142857143	0.3142857142857143
background_usage__max	6	0.3077214185089635	0.3077214185089635	0.3142857142857143	0.3142857142857143
