metric	n_points	pearson	pearson_abs	spearman	spearman_abs
log2fc_smooth__median	6	-0.2566627215644971	0.2566627215644971	-0.3142857142857143	0.3142857142857143
log2_odds__median	6	-0.2556297435223749	0.2556297435223749	-0.3142857142857143	0.3142857142857143
good_candidate_fraction	6	0.22871754483940168	0.22871754483940168	0.3142857142857143	0.3142857142857143
fc_smooth__median	6	-0.223721764599887	0.223721764599887	-0.3142857142857143	0.3142857142857143
odds_ratio__median	6	-0.22369723733765098	0.22369723733765098	-0.3142857142857143	0.3142857142857143
density_validity__max	6	0.17120597636789758	0.17120597636789758	0.3142857142857143	0.3142857142857143
geometry_score__max	6	0.17120597636789758	0.17120597636789758	0.3142857142857143	0.3142857142857143
sample_usage__median	6	0.4012472460917472	0.4012472460917472	0.30425553170226594	0.30425553170226594
n_points	6	0.29831175767830254	0.29831175767830254	0.2927700218845599	0.2927700218845599
internal_mreach_q90__mean	6	0.5956122223616946	0.5956122223616946	0.2571428571428572	0.2571428571428572
cohesion__mean	6	0.5956122223616946	0.5956122223616946	0.2571428571428572	0.2571428571428572
internal_mreach_q90__trimmed_mean_10	6	0.5517394314981757	0.5517394314981757	0.2571428571428572	0.2571428571428572
cohesion__trimmed_mean_10	6	0.5517394314981757	0.5517394314981757	0.2571428571428572	0.2571428571428572
geometry_score__mean	6	-0.31211163198537645	0.31211163198537645	-0.2571428571428572	0.2571428571428572
fc_smooth__trimmed_mean_10	6	-0.18379464312035762	0.18379464312035762	-0.2571428571428572	0.2571428571428572
odds_ratio__trimmed_mean_10	6	-0.18325318913450303	0.18325318913450303	-0.2571428571428572	0.2571428571428572
fc_smooth__mean	6	-0.09732624069108964	0.09732624069108964	-0.2571428571428572	0.2571428571428572
odds_ratio__mean	6	-0.09667765988720022	0.09667765988720022	-0.2571428571428572	0.2571428571428572
enrichment_stat_score__mean	6	-0.050560461031236494	0.050560461031236494	0.2571428571428572	0.2571428571428572
geometry_score__trimmed_mean_10	6	-0.4514071446062501	0.4514071446062501	-0.2	0.2
is_good_candidate_relaxed__sample_usage_weighted_mean	6	-0.4216683678787341	0.4216683678787341	-0.2	0.2
density_validity__sample_usage_weighted_mean	6	-0.4002163042225959	0.4002163042225959	-0.2	0.2
redcea_auxiliary_validity__sample_usage_weighted_mean	6	-0.3487834647731845	0.3487834647731845	-0.2	0.2
dbcv_with_odds__sample_usage_weighted_mean	6	-0.3473390981384539	0.3473390981384539	-0.2	0.2
density_validity__gt0_fraction	6	-0.33053922141604075	0.33053922141604075	-0.2	0.2
geometry_score__gt0_fraction	6	-0.33053922141604075	0.33053922141604075	-0.2	0.2
log2_odds__mean	6	-0.3113060726075026	0.3113060726075026	-0.2	0.2
log2fc_smooth__mean	6	-0.3108962566252469	0.3108962566252469	-0.2	0.2
geometry_score__sample_usage_weighted_mean	6	-0.2903922304731577	0.2903922304731577	-0.2	0.2
internal_edges_n__max	6	0.3828811891874029	0.3828811891874029	0.14285714285714288	0.14285714285714288
runtime_seconds	6	-0.31068574478304795	0.31068574478304795	-0.14285714285714288	0.14285714285714288
log2fc_smooth__trimmed_mean_10	6	-0.2772658384685744	0.2772658384685744	-0.14285714285714288	0.14285714285714288
log2_odds__trimmed_mean_10	6	-0.27699542920111847	0.27699542920111847	-0.14285714285714288	0.14285714285714288
positive_fragmentation_norm	6	0.1849389774801017	0.1849389774801017	0.14285714285714288	0.14285714285714288
log2fc_smooth__q75	6	-0.1752139199521585	0.1752139199521585	-0.14285714285714288	0.14285714285714288
log2_odds__q75	6	-0.17076667306755972	0.17076667306755972	-0.14285714285714288	0.14285714285714288
fc_smooth__q75	6	-0.10178795088632653	0.10178795088632653	-0.14285714285714288	0.14285714285714288
odds_ratio__q75	6	-0.09496771607224755	0.09496771607224755	-0.14285714285714288	0.14285714285714288
minus_log10_fdr__median	6	-0.04341527203538266	0.04341527203538266	0.14285714285714288	0.14285714285714288
sample_fraction_in_cluster__mean	6	-0.028159928450839675	0.028159928450839675	0.14285714285714288	0.14285714285714288
minus_log10_fdr__q25	6	-0.02678708507694772	0.02678708507694772	0.14285714285714288	0.14285714285714288
is_sample_knn_closed__trimmed_mean_10	6	-0.13293122352171954	0.13293122352171954	-0.13093073414159545	0.13093073414159545
redcea_auxiliary_validity__q75	6	-0.049097055903076746	0.049097055903076746	0.13093073414159545	0.13093073414159545
dbcv_with_odds__q75	6	-0.04909705590307674	0.04909705590307674	0.13093073414159545	0.13093073414159545
internal_mreach_q90__median	6	0.3724531005915351	0.3724531005915351	-0.08571428571428573	0.08571428571428573
cohesion__median	6	0.3724531005915351	0.3724531005915351	-0.08571428571428573	0.08571428571428573
external_mreach_q10__max	6	0.36676636019403625	0.36676636019403625	0.08571428571428573	0.08571428571428573
separation__max	6	0.36676636019403625	0.36676636019403625	0.08571428571428573	0.08571428571428573
positive_cluster_concentration_top5	6	0.27030750206613746	0.27030750206613746	0.08571428571428573	0.08571428571428573
external_mreach_q10__q75	6	0.18783510664067402	0.18783510664067402	-0.08571428571428573	0.08571428571428573
separation__q75	6	0.18783510664067402	0.18783510664067402	-0.08571428571428573	0.08571428571428573
external_mreach_q10__mean	6	0.1839798287920268	0.1839798287920268	0.08571428571428573	0.08571428571428573
separation__mean	6	0.1839798287920268	0.1839798287920268	0.08571428571428573	0.08571428571428573
external_mreach_q10__trimmed_mean_10	6	0.1427880339096493	0.1427880339096493	0.08571428571428573	0.08571428571428573
separation__trimmed_mean_10	6	0.1427880339096493	0.1427880339096493	0.08571428571428573	0.08571428571428573
positive_cluster_concentration_top1	6	0.13921318035441912	0.13921318035441912	0.08571428571428573	0.08571428571428573
precision	6	0.13116942866720419	0.13116942866720419	0.08571428571428573	0.08571428571428573
sample_usage__sample_usage_weighted_mean	6	0.03284341403464299	0.03284341403464299	-0.08571428571428573	0.08571428571428573
is_good_candidate_relaxed__trimmed_mean_10	6	-0.1533357006559121	0.1533357006559121	-0.033806170189140665	0.033806170189140665
geometry_score__q75	6	-0.10370777212380354	0.10370777212380354	0.033806170189140665	0.033806170189140665
good_candidate_relaxed_count	6	-0.15751267834701932	0.15751267834701932	-0.030358837035945815	0.030358837035945815
good_candidate_count	6	-0.21450714001502083	0.21450714001502083	-0.029424494316824982	0.029424494316824982
has_density_validity__sample_usage_weighted_mean	6	0.427591625355766	0.427591625355766	0.028571428571428574	0.028571428571428574
support_log__sample_usage_weighted_mean	6	0.3802903701419464	0.3802903701419464	-0.028571428571428574	0.028571428571428574
sample_usage__max	6	0.2268691669898955	0.2268691669898955	0.028571428571428574	0.028571428571428574
is_sample_knn_closed__sample_usage_weighted_mean	6	-0.19231836587161724	0.19231836587161724	-0.028571428571428574	0.028571428571428574
internal_edges_n__sample_usage_weighted_mean	6	0.14097474021767206	0.14097474021767206	-0.028571428571428574	0.028571428571428574
external_mreach_q10__q25	6	0.1030185034271045	0.1030185034271045	-0.028571428571428574	0.028571428571428574
separation__q25	6	0.1030185034271045	0.1030185034271045	-0.028571428571428574	0.028571428571428574
external_mreach_q10__median	6	0.04434803213602825	0.04434803213602825	0.028571428571428574	0.028571428571428574
separation__median	6	0.04434803213602825	0.04434803213602825	0.028571428571428574	0.028571428571428574
weighted_cluster_purity	6	0.019198460916530994	0.019198460916530994	-0.028571428571428574	0.028571428571428574
minus_log10_fdr__max	6				
enrichment_support_score__median	6				
enrichment_support_score__q25	6				
enrichment_stat_score__median	6				
enrichment_stat_score__q25	6				
external_edges_n__q25	6				
geometry_score__median	6				
geometry_score__q25	6				
has_density_validity__max	6				
has_density_validity__q25	6				
is_sample_knn_closed__median	6				
is_sample_knn_closed__max	6				
is_sample_knn_closed__q25	6				
is_sample_knn_closed__q75	6				
dbcv_with_odds__median	6				
dbcv_with_odds__q25	6				
redcea_auxiliary_validity__median	6				
redcea_auxiliary_validity__q25	6				
is_good_candidate_relaxed__median	6				
is_good_candidate_relaxed__max	6				
is_good_candidate_relaxed__q25	6				
is_good_candidate_relaxed__q75	6				
