run_id	run_dir	dataset	dataset_mode	method	parameter_json	n_points	n_clusters	n_noise	noise_fraction	runtime_seconds	status	error_message	error_traceback	redcea_output_dir	param_cluster_min_samples	param_cluster_pc_components	param_enrichment_test	param_eps_k_neighbors	param_k_neighbors	param_leiden_resolution	param_eps_estimation_based_on	param_vdbscan_sym_rule	n_clusters_in_summary	good_candidate_count	good_candidate_fraction	good_candidate_relaxed_count	good_candidate_relaxed_fraction	cluster_size__mean	cluster_size__median	cluster_size__max	cluster_size__q25	cluster_size__q75	sample__mean	sample__median	sample__max	sample__q25	sample__q75	background__mean	background__median	background__max	background__q25	background__q75	enrichment_pvalue_zbinom__mean	enrichment_pvalue_zbinom__median	enrichment_pvalue_zbinom__max	enrichment_pvalue_zbinom__q25	enrichment_pvalue_zbinom__q75	enrichment_fdr_zbinom__mean	enrichment_fdr_zbinom__median	enrichment_fdr_zbinom__max	enrichment_fdr_zbinom__q25	enrichment_fdr_zbinom__q75	log_fold_change__mean	log_fold_change__median	log_fold_change__max	log_fold_change__q25	log_fold_change__q75	sample_usage__mean	sample_usage__median	sample_usage__max	sample_usage__q25	sample_usage__q75	background_usage__mean	background_usage__median	background_usage__max	background_usage__q25	background_usage__q75	sample_fraction_in_cluster__mean	sample_fraction_in_cluster__median	sample_fraction_in_cluster__max	sample_fraction_in_cluster__q25	sample_fraction_in_cluster__q75	log2fc_smooth__mean	log2fc_smooth__median	log2fc_smooth__max	log2fc_smooth__q25	log2fc_smooth__q75	fc_smooth__mean	fc_smooth__median	fc_smooth__max	fc_smooth__q25	fc_smooth__q75	minus_log10_fdr__mean	minus_log10_fdr__median	minus_log10_fdr__max	minus_log10_fdr__q25	minus_log10_fdr__q75	support_log__mean	support_log__median	support_log__max	support_log__q25	support_log__q75	enrichment_support_score__mean	enrichment_support_score__median	enrichment_support_score__max	enrichment_support_score__q25	enrichment_support_score__q75	enrichment_stat_score__mean	enrichment_stat_score__median	enrichment_stat_score__max	enrichment_stat_score__q25	enrichment_stat_score__q75	internal_edges_n__mean	internal_edges_n__median	internal_edges_n__max	internal_edges_n__q25	internal_edges_n__q75	internal_mreach_q90__mean	internal_mreach_q90__median	internal_mreach_q90__max	internal_mreach_q90__q25	internal_mreach_q90__q75	cohesion__mean	cohesion__median	cohesion__max	cohesion__q25	cohesion__q75	external_edges_n__mean	external_edges_n__median	external_edges_n__max	external_edges_n__q25	external_edges_n__q75	external_mreach_q10__mean	external_mreach_q10__median	external_mreach_q10__max	external_mreach_q10__q25	external_mreach_q10__q75	separation__mean	separation__median	separation__max	separation__q25	separation__q75	density_validity__mean	density_validity__median	density_validity__max	density_validity__q25	density_validity__q75	geometry_score__mean	geometry_score__median	geometry_score__max	geometry_score__q25	geometry_score__q75	has_density_validity__mean	has_density_validity__median	has_density_validity__max	has_density_validity__q25	has_density_validity__q75	is_sample_knn_closed__mean	is_sample_knn_closed__median	is_sample_knn_closed__max	is_sample_knn_closed__q25	is_sample_knn_closed__q75	log2_odds__mean	log2_odds__median	log2_odds__max	log2_odds__q25	log2_odds__q75	odds_ratio__mean	odds_ratio__median	odds_ratio__max	odds_ratio__q25	odds_ratio__q75	dbcv_with_odds__mean	dbcv_with_odds__median	dbcv_with_odds__max	dbcv_with_odds__q25	dbcv_with_odds__q75	redcea_auxiliary_validity__mean	redcea_auxiliary_validity__median	redcea_auxiliary_validity__max	redcea_auxiliary_validity__q25	redcea_auxiliary_validity__q75	is_good_candidate__mean	is_good_candidate__median	is_good_candidate__max	is_good_candidate__q25	is_good_candidate__q75	is_good_candidate_relaxed__mean	is_good_candidate_relaxed__median	is_good_candidate_relaxed__max	is_good_candidate_relaxed__q25	is_good_candidate_relaxed__q75
vdjdb_glc_dbscan_grid_0000	results\redcea_runs\vdjdb_glc_dbscan_grid_0000	vdjdb_glc	vdjdb	dbscan	"{""cluster_min_samples"":3,""cluster_pc_components"":50,""enrichment_test"":""zbinom"",""eps_k_neighbors"":4,""k_neighbors"":4}"	101212.0	685.0	85741.0	0.8471426313085405	150.1750755533576	success			C:\Users\lizzka239\projects\tcrempnet\results\redcea_runs\vdjdb_glc_dbscan_grid_0000	3.0	50.0	zbinom	4.0	4.0				685	4	0.00583941605839416	8	0.01167883211678832	22.585401459854015	10.0	464.0	6.0	21.0	0.3562043795620438	0.0	29.0	0.0	0.0	22.22919708029197	10.0	458.0	6.0	21.0	0.6430867520940012	0.7277235597421565	0.9950678315271062	0.5974729694709866	0.7874106580408542	0.7854466308627881	0.8223525780645176	0.9950678315271062	0.8223525780645176	0.8223525780645176	-7.254820575200681	-7.986592606876497	11.957890065367437	-8.338775124957701	-7.7824726242531455	0.00029389800293898	0.0	0.023927392739273932	0.0	0.0	0.0002222919708029197	0.0001	0.00458	5.9999999999999995e-05	0.00021	0.023943670868890366	0.0	1.0	0.0	0.0	1.9274762059647361	2.1185389775202754	10.890028447020876	1.0089144863457769	2.666026772822768	19.35577367101937	4.342539517109606	1897.6897689768991	2.0123963615873777	6.346788525006344	8.037410121972314	0.08494194173244463	300.0	0.08494194173244463	0.08494194173244463	0.11544154663230882	0.0	3.4011973816621555	0.0	0.0	0.6176916371694504	0.0	36.270868988763205	0.0	0.0	25.21980251717772	0.0	1813.54344943816	0.0	0.0	1.7167883211678832	0.0	199.0	0.0	0.0	32.516881993611655	36.25924873352051	49.16582489013672	23.409369468688965	42.7257194519043	32.516881993611655	36.25924873352051	49.16582489013672	23.409369468688965	42.7257194519043	0.7766423357664234	0.0	23.0	0.0	0.0	42.443546282450356	41.888397216796875	71.5655288696289	36.28364162445069	48.255919456481934	42.443546282450356	41.888397216796875	71.5655288696289	36.28364162445069	48.255919456481934	0.0030840665214104325	-0.018166821859659288	0.2353272316725313	-0.03937025366193834	-0.00032644932496134313	0.033317044722756844	0.0	0.2353272316725313	0.0	0.0	0.03795620437956204	0.0	1.0	0.0	0.0	0.00583941605839416	0.0	1.0	0.0	0.0	1.926993226299411	2.1178212947408674	10.902588710821128	1.008038084891096	2.6653523739244616	19.510942003491472	4.340379815518179	1914.2833957553046	2.011174251948704	6.343822363203803	0.856515953452801	0.0	6.490018259720004	0.0	0.0	0.8546382258204296	0.0	6.469197014458129	0.0	0.0	0.00583941605839416	0.0	1.0	0.0	0.0	0.01167883211678832	0.0	1.0	0.0	0.0
vdjdb_glc_leiden_grid_0002	results\redcea_runs\vdjdb_glc_leiden_grid_0002	vdjdb_glc	vdjdb	leiden	"{""cluster_min_samples"":5,""cluster_pc_components"":50,""enrichment_test"":""zbinom"",""k_neighbors"":8,""leiden_resolution"":1.0}"	101212.0	93.0	24714.0	0.2441805319527329	111.3394186608493	success			C:\Users\lizzka239\projects\tcrempnet\results\redcea_runs\vdjdb_glc_leiden_grid_0002	5.0	50.0	zbinom		8.0	1.0			93	4	0.043010752688172046	8	0.08602150537634409	822.5591397849462	791.0	2335.0	437.0	1070.0	11.903225806451612	9.0	103.0	5.0	14.0	810.6559139784946	768.0	2315.0	421.0	1049.0	0.2745643491073139	0.2119472978489698	0.953286742077058	0.0174564123731642	0.4601024077969671	0.3740525612824986	0.4193850787224296	0.953286742077058	0.0676435979460112	0.6112789132159706	-1.6270461609083375	-0.0716154600556362	1.7357612160706724	-0.3382923071411015	0.1505805862315571	0.009821143404663045	0.007425742574257425	0.08498349834983497	0.004125412541254125	0.01155115511551155	0.008106559139784947	0.007679999999999999	0.02315	0.00421	0.010490000000000001	0.01860028416776195	0.01017293997965412	0.3974358974358974	0.005530973451327434	0.016853932584269662	-0.06742603233109341	-0.0957889591502159	5.770008351404876	-0.7486253397726328	0.8353539641869592	1.9943117008196374	0.9357603730650734	54.56894895838789	0.5951703906698442	1.7842947605722543	13.894609600775338	0.37738702533417107	300.0	0.21376058545003496	1.1697733004453512	2.070865088283896	2.302585092994046	4.6443908991413725	1.791759469228055	2.7080502011022096	1.496138478281022	0.0	23.90592197227469	0.0	1.5066285477778774	35.33474965987759	0.0	1195.2960986137348	0.0	0.5124872358870758	69.96774193548387	48.0	708.0	17.0	84.0	64.31713225967006	59.425987243652344	113.4392547607422	53.451482200622564	72.70333480834961	64.31713225967006	59.425987243652344	113.4392547607422	53.451482200622564	72.70333480834961	13.35483870967742	13.0	43.0	0.0	22.0	56.66624842251048	50.67828121185302	107.57867431640624	46.8876724243164	63.48607158660889	56.66624842251048	50.67828121185302	107.57867431640624	46.8876724243164	63.48607158660889	-0.1220969418192704	-0.14667113900937553	0.5105295665575459	-0.21127488343125497	-0.05825672784934097	0.02759659173707684	0.0	0.5105295665575459	0.0	0.0	0.7311827956989247	1.0	1.0	0.0	1.0	0.08602150537634409	0.0	1.0	0.0	0.0	-0.06543915602219831	-0.09817833516469764	5.843787515777107	-0.7609099842950977	0.8418224326926911	2.042820323660251	0.9342118594664915	57.43218384461323	0.5901239907936531	1.7923127872057327	0.13979520959041447	0.0	3.6725498440625515	0.0	0.0	0.1369738093302894	0.0	3.60452750727172	0.0	0.0	0.043010752688172046	0.0	1.0	0.0	0.0	0.08602150537634409	0.0	1.0	0.0	0.0
vdjdb_glc_vdbscan_grid_0001	results\redcea_runs\vdjdb_glc_vdbscan_grid_0001	vdjdb_glc	vdjdb	vdbscan	"{""cluster_min_samples"":5,""cluster_pc_components"":50,""enrichment_test"":""zbinom"",""eps_estimation_based_on"":""sample"",""eps_k_neighbors"":8,""k_neighbors"":8,""vdbscan_sym_rule"":""asymmetric""}"	101212.0	136.0	20116.0	0.19875113622890567	137.66692190989852	success			C:\Users\lizzka239\projects\tcrempnet\results\redcea_runs\vdjdb_glc_vdbscan_grid_0001	5.0	50.0	zbinom	8.0	8.0		sample	asymmetric	136	1	0.007352941176470588	3	0.022058823529411766	596.2941176470588	7.0	24026.0	3.0	88.25	7.132352941176471	0.0	194.0	0.0	2.25	589.1617647058823	6.0	23832.0	2.75	75.25	0.5656186206538145	0.7708347029591975	0.9344723092563284	0.12795121653716246	0.8487717554926189	0.6935446870946604	0.9190949659209672	0.9344723092563284	0.49173115408799706	0.9190949659209672	-5.081796273291578	-7.083502620264563	3.1206173624185065	-7.7824726242531455	-0.21741188848352722	0.005884779654436033	0.0	0.16006600660066006	0.0	0.0018564356435643563	0.005891617647058823	5.9999999999999995e-05	0.23831999999999998	2.7499999999999998e-05	0.0007525	0.04564311916961821	0.0	0.9411764705882352	0.0	0.007293437707866624	2.528090487391924	2.9070348723265624	9.825898109601157	0.9578868789257434	4.356084559960697	27.568117922322728	7.5007500750074945	907.5907590759067	1.9435276861019428	20.595023155624038	22.63513102849916	0.03663961261319642	300.0	0.03663961261319642	0.3082734616165723	0.7830821800502683	0.0	5.272999558563747	0.0	1.170532806781055	1.5819125856203107	0.0	27.838865641458746	0.0	0.0	65.07784002116377	0.0	1391.9432820729373	0.0	0.0	42.588235294117645	0.0	1158.0	0.0	3.0	68.98866870983227	66.88920593261719	138.09849548339844	57.68745040893555	83.77098846435547	68.98866870983227	66.88920593261719	138.09849548339844	57.68745040893555	83.77098846435547	7.338235294117647	0.0	200.0	0.0	7.0	56.87633345467704	55.68505859375	107.00617218017578	41.191953372955325	71.48799324035645	56.87633345467704	55.68505859375	107.00617218017578	41.191953372955325	71.48799324035645	-0.22569050302423996	-0.16856378066704697	0.004139668449447208	-0.34347967156811454	-0.07806764362167892	0.00011827624141277736	0.0	0.004139668449447208	0.0	0.0	0.25735294117647056	0.0	1.0	0.0	1.0	0.014705882352941176	0.0	1.0	0.0	0.0	2.527274385966969	2.9063749011000493	9.844460198042372	0.9577833183047962	4.390505108652599	27.77073650512077	7.497319587628866	919.3435018804846	1.9433738411097372	21.094375893944367	0.0024618486678405376	0.0	0.08616470337441881	0.0	0.0	0.0024590854013845126	0.0	0.08606798904845794	0.0	0.0	0.007352941176470588	0.0	1.0	0.0	0.0	0.022058823529411766	0.0	1.0	0.0	0.0
vdjdb_ylq_dbscan_grid_0000	results\redcea_runs\vdjdb_ylq_dbscan_grid_0000	vdjdb_ylq	vdjdb	dbscan	"{""cluster_min_samples"":3,""cluster_pc_components"":50,""enrichment_test"":""zbinom"",""eps_k_neighbors"":4,""k_neighbors"":4}"	100903.0	129.0	87975.0	0.8718769511312845	149.96161032095551	success			C:\Users\lizzka239\projects\tcrempnet\results\redcea_runs\vdjdb_ylq_dbscan_grid_0000	3.0	50.0	zbinom	4.0	4.0				129	7	0.05426356589147287	17	0.13178294573643412	100.21705426356588	22.0	1503.0	8.0	73.0	3.945736434108527	0.0	75.0	0.0	2.0	96.27131782945736	16.0	1500.0	6.0	65.0	0.4259065865248054	0.4505576502865334	0.9561303894909264	0.0155592794356691	0.7526219956933495	0.5650513442074082	0.8448223432300611	0.9561303894909264	0.0608226377939793	0.8448223432300611	-4.877245086266956	-7.858777737359736	12.190440285395756	-8.61844558200452	0.4262641531863163	0.0043695863057680254	0.0	0.08305647840531563	0.0	0.0022148394241417496	0.0009627131782945737	0.00016	0.015	5.9999999999999995e-05	0.00065	0.1525975046314493	0.0	1.0	0.0	0.023529411764705882	2.5973644330610126	2.0361707947924863	12.444500535559875	-0.05443175398842115	3.3316266783186563	236.0042278871199	4.101554489151392	5574.012550756734	0.9629736626703264	10.067451927917043	60.70303092943186	0.07323460876243354	300.0	0.07323460876243354	1.2159347490302923	0.6235667302463967	0.0	4.330733340286331	0.0	1.0986122886681098	4.892009155998101	0.0	53.89381337256025	0.0	1.8739895674970264	237.08557206788478	0.0	2694.690668628013	0.0	0.6674436267205539	25.651162790697676	0.0	524.0	0.0	2.0	37.61239400343461	34.436622619628906	75.28193664550781	27.37282371520996	43.66842651367188	37.61239400343461	34.436622619628906	75.28193664550781	27.37282371520996	43.66842651367188	1.9689922480620154	0.0	17.0	0.0	0.0	49.73163882946146	47.56636047363281	93.70358276367188	33.96037368774414	65.06413269042969	49.73163882946146	47.56636047363281	93.70358276367188	33.96037368774414	65.06413269042969	0.012779284497956001	-0.001907940031420831	0.3764775547564852	-0.05221262371935242	0.06497455950645913	0.053154036841143865	0.0	0.3764775547564852	0.0	0.06497455950645913	0.17829457364341086	0.0	1.0	0.0	0.0	0.07751937984496124	0.0	1.0	0.0	0.0	2.6016093312601147	2.035191833256638	12.568717612326045	-0.05604572042919997	3.330763142197302	243.45557744069362	4.09877226423989	6075.205994769661	0.9618969707177404	10.06142778085224	1.7564961462470965	0.0	13.285337729853422	0.0	0.8684138558990229	1.742761301188018	0.0	13.110563282022298	0.0	0.8667981703892689	0.05426356589147287	0.0	1.0	0.0	0.0	0.13178294573643412	0.0	1.0	0.0	0.0
vdjdb_ylq_leiden_grid_0002	results\redcea_runs\vdjdb_ylq_leiden_grid_0002	vdjdb_ylq	vdjdb	leiden	"{""cluster_min_samples"":5,""cluster_pc_components"":50,""enrichment_test"":""zbinom"",""k_neighbors"":8,""leiden_resolution"":1.0}"	100903.0	46.0	32138.0	0.3185039096954501	105.22204733267428	success			C:\Users\lizzka239\projects\tcrempnet\results\redcea_runs\vdjdb_ylq_leiden_grid_0002	5.0	50.0	zbinom		8.0	1.0			46	3	0.06521739130434782	8	0.17391304347826086	1494.891304347826	813.5	6968.0	293.75	2196.75	18.32608695652174	7.5	166.0	0.0	17.75	1476.5652173913043	801.0	6938.0	279.5	2188.0	0.10635230829787864	0.0029278219555492497	0.8368830360662498	5.6154474192271486e-05	0.1064727603105968	0.11870444262917469	0.0056465980074241	0.8368830360662498	0.00020868745789052502	0.14067193434286893	-3.157916138095797	-0.4581217416042078	2.577914860333006	-9.224075006096214	0.046025770704167926	0.02029466994077712	0.00830564784053156	0.18383167220376526	0.0	0.019656699889258028	0.014765652173913043	0.00801	0.06938	0.0027949999999999997	0.021879999999999997	0.05442569928344112	0.0031376271559517633	0.7735849056603774	0.0	0.009941534596057209	-0.40181350829495593	-1.2133672628158112	8.522241538528153	-1.8920317700162306	0.2754226140299234	14.093962935338975	0.43131799273465077	367.6633444075303	0.2696549168687341	1.2104020248913614	53.68604514585812	2.2482131294530965	300.0	0.8577558370551441	3.696537673568221	1.873017244259916	2.138333059508028	5.1179938124167546	0.0	2.930922173848871	3.959175413042145	0.0	31.853323278229194	0.0	0.5184015911728939	188.1628584488562	0.0	1592.6661639114593	0.0	0.0503142757474202	120.82608695652173	33.5	1151.0	0.0	117.5	70.55466078440348	72.80529022216797	127.37018585205078	53.01284408569337	81.75746536254883	70.55466078440348	72.80529022216797	127.37018585205078	53.01284408569337	81.75746536254883	7.456521739130435	1.5	27.0	0.0	15.75	73.06240692138671	70.7145004272461	124.29709243774414	62.24184799194336	80.40213088989258	73.06240692138671	70.7145004272461	124.29709243774414	62.24184799194336	80.40213088989258	-0.036057119657732346	-0.07591849196941966	0.3769267570145135	-0.1517793123850977	0.016435627427851988	0.05793730584325727	0.0	0.3769267570145135	0.0	0.026827551727075356	0.5	0.5	1.0	0.0	1.0	0.15217391304347827	0.0	1.0	0.0	0.0	-0.3936725921348615	-1.2362042216297682	8.588277149985862	-1.9207725516766567	0.2752610785857128	15.168598158979776	0.4244891485975598	384.88326956521735	0.26430820522097004	1.2102725329272603	0.5909272339191938	0.0	9.433989686423175	0.0	0.0	0.5666722184691845	0.0	8.975128208696209	0.0	0.0	0.06521739130434782	0.0	1.0	0.0	0.0	0.17391304347826086	0.0	1.0	0.0	0.0
vdjdb_ylq_vdbscan_grid_0001	results\redcea_runs\vdjdb_ylq_vdbscan_grid_0001	vdjdb_ylq	vdjdb	vdbscan	"{""cluster_min_samples"":5,""cluster_pc_components"":50,""enrichment_test"":""zbinom"",""eps_estimation_based_on"":""sample"",""eps_k_neighbors"":8,""k_neighbors"":8,""vdbscan_sym_rule"":""asymmetric""}"	100903.0	260.0	47844.0	0.4741583500986096	106.61427614837885	success			C:\Users\lizzka239\projects\tcrempnet\results\redcea_runs\vdjdb_ylq_vdbscan_grid_0001	5.0	50.0	zbinom	8.0	8.0		sample	asymmetric	260	3	0.011538461538461539	5	0.019230769230769232	204.0730769230769	1.0	14513.0	1.0	17.25	2.396153846153846	0.0	173.0	0.0	0.0	201.6769230769231	1.0	14464.0	1.0	16.0	0.7579527499736025	0.924293587759486	0.9768541469757286	0.749967525415288	0.924293587759486	0.8522761580521232	0.937385728575155	0.9768541469757286	0.937385728575155	0.937385728575155	-6.1392244218933145	-6.9556877507478	11.82246350014252	-7.432809005177933	-6.9556877507478	0.0026535480023852118	0.0	0.19158361018826134	0.0	0.0	0.0020167692307692317	1e-05	0.14464000000000002	1e-05	0.00016	0.016899393347603518	0.0	1.0	0.0	0.0	3.6358476978991736	5.206095796234797	10.491498015097047	2.2674963408989406	5.206095796234797	32.0958015692811	36.91399040236247	1439.6456256921388	4.81486831335163	36.91399040236247	10.569581352654751	0.028081662772540258	300.0	0.028081662772540258	0.028081662772540258	0.2894722470549091	0.0	5.159055299214528	0.0	0.0	0.8010000926788449	0.0	31.148092163770624	0.0	0.0	37.17350624750159	0.0	1557.4046081885313	0.0	0.0	14.623076923076923	0.0	1192.0	0.0	0.0	64.81602492155852	72.25553131103516	95.23883819580078	44.55682182312012	80.0607795715332	64.81602492155852	72.25553131103516	95.23883819580078	44.55682182312012	80.0607795715332	2.15	0.0	115.0	0.0	0.0	70.0572479473917	70.78887939453125	128.73492431640622	51.5001817703247	87.60279846191406	70.0572479473917	70.78887939453125	128.73492431640622	51.5001817703247	87.60279846191406	-0.16547795332216125	-0.14289057623127616	0.2094805763348	-0.2449661623751877	-0.01940969202873154	0.012112169196867108	0.0	0.2094805763348	0.0	0.0	0.09615384615384616	0.0	1.0	0.0	0.0	0.007692307692307693	0.0	1.0	0.0	0.0	3.6360614630960333	5.2052899693578185	10.50031927732466	2.2665462365824918	5.2052899693578185	32.281735280125524	36.89337760560782	1448.4752089136484	4.8116984673131045	36.89337760560782	0.2202941237707837	0.0	4.329819774070262	0.0	0.0	0.21681138731403476	0.0	4.264654446525197	0.0	0.0	0.011538461538461539	0.0	1.0	0.0	0.0	0.019230769230769232	0.0	1.0	0.0	0.0
yfv_P1_F1_dbscan_grid_0000	results\redcea_runs\yfv_P1_F1_dbscan_grid_0000																						10710	66	0.0061624649859943975	72	0.0067226890756302525	16.42296918767507	7.0	948.0	5.0	13.0	6.123902894491129	3.0	390.0	2.0	5.0	10.299066293183941	5.0	558.0	3.0	8.0	0.41785557290866615	0.4380302057309235	0.9982783039691844	0.1069672281957128	0.7239867314343582	0.6448575916918955	0.7758163877220152	0.9982783039691844	0.4143287573150394	0.8546962368661638	-0.3536976620938429	0.0624078152108362	10.325649249966991	-0.1928646898056109	0.2163283814061887	1.9684360246512047e-05	9.64304655984314e-06	0.0012535960527796082	6.428697706562094e-06	1.6071744266405232e-05	1.7204192679677236e-05	8.352306990713905e-06	0.0009321174601636717	5.011384194428343e-06	1.3363691185142247e-05	0.3642149854400639	0.375	1.0	0.25	0.4609769225593757	0.1524501031257623	0.2524021640255949	5.467841824720273	-0.4962927227227176	0.7202704045964858	1.43850910912353	1.1911888575362324	44.257247553076894	0.7089261621774343	1.6474908935562733	1.340577371322868	0.11024105095138677	300.0	0.06818820818764618	0.3826549225795509	1.4714083505714108	1.3862943611198906	5.968707559985366	1.0986122886681098	1.791759469228055	0.8238483112261453	0.4050796097607997	13.587076510236367	0.0	1.309049857246916	2.2225295403410947	0.021305759037709177	679.3538255118183	0.0	0.2544889867578463	29.281139122315594	6.0	2612.0	2.0	19.0	17.378586805647615	17.074111175537112	39.98034286499024	15.47694706916809	18.9937801361084	17.378586805647615	17.074111175537112	39.98034286499024	15.47694706916809	18.9937801361084	13.586928104575163	12.0	200.0	10.0	16.0	16.342748715794595	15.937684059143065	38.22742462158203	14.131082534790039	18.13011741638184	16.342748715794595	15.937684059143065	38.22742462158203	14.131082534790039	18.13011741638184	-0.08285427229826438	-0.07507406098808364	0.4758931612304192	-0.1265562560534807	-0.031030808019221125	0.0027368786924778362	0.0	0.4758931612304192	0.0	0.0	0.7878618113912231	1.0	1.0	1.0	1.0	0.0018674136321195146	0.0	1.0	0.0	0.0	0.15245256817681474	0.2524047746771494	5.467891722438749	-0.4963016142228813	0.7203930592454979	1.4385182820710019	1.1911910130727583	44.25877828119751	0.7089217929951164	1.6476309769960866	0.005076666997591092	0.0	1.5658615746283016	0.0	0.0	0.005076452952969944	0.0	1.5658380302884942	0.0	0.0	0.0061624649859943975	0.0	1.0	0.0	0.0	0.0067226890756302525	0.0	1.0	0.0	0.0
yfv_P1_F1_leiden_grid_0002	results\redcea_runs\yfv_P1_F1_leiden_grid_0002																						444	37	0.08333333333333333	40	0.09009009009009009	2048.768018018018	1724.0	8411.0	981.5	2872.25	700.6103603603603	570.0	2963.0	331.25	933.25	1348.1576576576576	1148.0	5448.0	643.25	1864.0	0.10415316683658549	0.0010000658156823	0.9959567356878704	2.3684438299476085e-09	0.08042061628774103	0.11554774762274526	0.00199528421126355	0.9959567356878704	9.403308847847188e-09	0.1069483832210042	-0.0060829344319782465	0.003486029368797	0.5852865603789811	-0.0598146981126311	0.07415126071917372	0.002252006108421145	0.0018321788463701964	0.009524115652271741	0.001064753057649347	0.0029997910673245374	0.0022520453257277072	0.0019176896850679125	0.009100673697081871	0.0010745242943553438	0.003113740046138144	0.35107128396623455	0.34377912782956055	0.6666666666666666	0.31168503969396566	0.3813588915417577	0.044880095112898644	0.012146591630267878	1.861817708471289	-0.19816002908320843	0.2468337400002949	1.0701164717162828	1.0084549215164729	3.634653180687476	0.8716616320528333	1.1866053115709405	32.44929465195501	2.7013433499886017	300.0	0.9708257764361063	8.0360324291726	6.191512374124138	6.347387676104197	7.994294986415977	5.805880031100465	6.839743960993804	0.8560822502107293	0.07978368628912358	5.187455277785244	0.0	1.5327548217140017	14.437471772851046	0.0059542844992912115	259.37276388926216	0.0	4.247327734280715	4857.518018018018	3960.5	20593.0	2298.75	6478.25	28.361929649693163	28.96057319641113	42.24155044555664	25.06655502319336	32.27799034118652	28.361929649693163	28.96057319641113	42.24155044555664	25.06655502319336	32.27799034118652	46.77252252252252	28.0	292.0	11.0	68.0	27.611536721202814	23.927156448364258	66.85959930419922	20.94650545120239	31.617549800872805	27.611536721202814	23.927156448364258	66.85959930419922	20.94650545120239	31.617549800872805	-0.06645292849754195	-0.11573680697522198	0.515716521571577	-0.1888840446637426	0.038353749869749015	0.054997924317830765	0.0	0.515716521571577	0.0	0.038353749869749015	0.963963963963964	1.0	1.0	1.0	1.0	0.033783783783783786	0.0	1.0	0.0	0.0	0.04487888737044777	0.012177122872660817	1.861844053922184	-0.19865843393055235	0.24729794527035232	1.070198291170094	1.0084762624373411	3.6347195546948035	0.8713605754869997	1.1869868349066814	0.037176748743306724	0.0	1.274833928191468	0.0	0.0	0.03710356068828339	0.0	1.2671243692728216	0.0	0.0	0.08333333333333333	0.0	1.0	0.0	0.0	0.09009009009009009	0.0	1.0	0.0	0.0
yfv_P1_F1_vdbscan_grid_0001	results\redcea_runs\yfv_P1_F1_vdbscan_grid_0001																						14248	112	0.007860752386299831	118	0.00828186412128018	34.83639809096014	9.0	2838.0	6.0	25.0	12.299901740595171	4.0	1147.0	2.0	9.0	22.536496350364963	6.0	1691.0	4.0	17.0	0.40607023436934847	0.3845892791623062	0.9999038199739674	0.1069672281957128	0.7104497794422735	0.6380612488977674	0.7561447432968854	0.9999038199739672	0.41847036445154207	0.8630943584379749	-0.3747465973164825	0.0026769247422411503	10.363437810853103	-0.1928646898779933	0.1593178281790823	3.953617505535164e-05	1.2857395413124189e-05	0.003686858134713361	6.428697706562094e-06	2.8929139679529414e-05	3.764634720267034e-05	1.0022768388856686e-05	0.0028247502242594426	6.681845592571123e-06	2.8397843768427282e-05	0.345926767310737	0.34335896276194783	1.0	0.25	0.42857142857142855	0.029360458623331132	0.09628296210831166	5.588136058437987	-0.5504848230863164	0.5572567455540156	1.2848238531351925	1.0690156413786691	48.10570386204014	0.6827906354612144	1.4714685887212282	1.0191580277683407	0.12139506270221552	300.0	0.06394172211931783	0.3783352927744035	1.771882340491952	1.6094379124341005	7.045776576879512	1.0986122886681098	2.302585092994046	0.7073798944679959	0.10577764536155718	14.33328599249816	0.0	1.0843715568030932	1.6370941374309267	0.0016152278741657926	716.664299624908	0.0	0.1663556540926958	70.58408197641775	6.0	7863.0	2.0	45.0	22.005867925255696	21.715883255004883	39.98034286499024	19.454349040985104	24.20610523223877	22.005867925255696	21.715883255004883	39.98034286499024	19.454349040985104	24.20610523223877	15.515791690061763	15.0	278.0	10.0	17.0	20.520428994900595	20.15250473022461	38.80213165283203	18.149245262145996	22.531085968017578	20.520428994900595	20.15250473022461	38.80213165283203	18.149245262145996	22.531085968017578	-0.08504122122439228	-0.08186783234917165	0.4758931612304192	-0.12937899614728549	-0.03859890173920631	0.0036035809661911374	0.0	0.4758931612304192	0.0	0.0	0.8185710275126333	1.0	1.0	1.0	1.0	0.0017546322290847838	0.0	1.0	0.0	0.0	0.02936207321144569	0.09628148320583564	5.5881905936455825	-0.5504988999078684	0.5572641762067576	1.2848322495741469	1.0690145455344169	48.10752233653223	0.6827839732943883	1.4714761675926815	0.005385223702991373	0.0	2.4106637891156733	0.0	0.0	0.0053847143558860226	0.0	2.4106402634237742	0.0	0.0	0.007860752386299831	0.0	1.0	0.0	0.0	0.00828186412128018	0.0	1.0	0.0	0.0
